num_threads,tipo,tentativa_0,tentativa_1,tentativa_2,tentativa_3,tentativa_4,tentativa_5,tentativa_6,tentativa_7,tentativa_8,tentativa_9,media
2,sequencial,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3100000000000002e-05
2,for,2.6e-05,2.6e-05,2.7e-05,2.6e-05,2.3e-05,2.4e-05,2.7e-05,2.8e-05,2.3e-05,2.3e-05,2.5300000000000002e-05
2,taskloop,8.4e-05,7.5e-05,7.9e-05,0.000118,0.000106,0.000101,8.4e-05,4.1e-05,0.000119,8.9e-05,8.959999999999998e-05
2,sequencial_simd,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3300000000000001e-05
2,for_simd,2.5e-05,2.2e-05,2.6e-05,2.7e-05,2.5e-05,2.4e-05,2.7e-05,2.6e-05,2.9e-05,2.6e-05,2.57e-05
2,taskloop_simd,0.000112,6.4e-05,0.000122,8e-05,7.6e-05,6.5e-05,4.1e-05,7.5e-05,4e-05,7.7e-05,7.52e-05
4,sequencial,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.3300000000000001e-05
4,for,2.6e-05,2.2e-05,2.7e-05,2.3e-05,2.4e-05,2.1e-05,2.2e-05,2e-05,2.3e-05,2.3e-05,2.31e-05
4,taskloop,4e-05,4e-05,5.8e-05,5.1e-05,5e-05,5e-05,4.4e-05,3.6e-05,3.9e-05,6.1e-05,4.6899999999999995e-05
4,sequencial_simd,1.4e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.4e-05,1.34e-05
4,for_simd,2.3e-05,2.1e-05,2.4e-05,2.4e-05,2.3e-05,2.4e-05,2.6e-05,2.3e-05,2.1e-05,2.4e-05,2.3300000000000004e-05
4,taskloop_simd,7.7e-05,4.9e-05,4.6e-05,9.6e-05,5.7e-05,5.8e-05,5.2e-05,5e-05,4e-05,3.7e-05,5.620000000000001e-05
8,sequencial,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.32e-05
8,for,0.000185,0.0002,0.00019,0.000196,0.00018,0.00016,0.000152,0.000179,0.000168,0.000196,0.0001806
8,taskloop,0.000255,0.000187,0.00017,0.000199,0.000203,0.000213,0.000226,0.000224,0.000179,0.000216,0.0002072
8,sequencial_simd,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.4e-05,1.4e-05,1.3e-05,1.4e-05,1.36e-05
8,for_simd,0.000191,0.000164,0.000193,0.000161,0.000158,0.00016,0.000191,0.00017,0.000188,0.000193,0.0001769
8,taskloop_simd,0.000215,0.000196,0.000192,0.000191,0.00026,0.000188,0.000266,0.000255,0.000214,0.00309,0.0005067
16,sequencial,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.32e-05
16,for,0.00044,0.000432,0.000433,0.000434,0.000448,0.00043,0.000461,0.000404,0.000402,0.000387,0.0004271
16,taskloop,0.000411,0.000449,0.000452,0.000444,0.000406,0.000468,0.000487,0.000418,0.000409,0.000492,0.0004436
16,sequencial_simd,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.32e-05
16,for_simd,0.000438,0.000396,0.000412,0.000395,0.000387,0.000447,0.000395,0.000454,0.000424,0.000385,0.00041329999999999996
16,taskloop_simd,0.000469,0.000461,0.000468,0.000514,0.000434,0.000467,0.000477,0.00046,0.000516,0.000487,0.0004753
